Data Download from NCSES Interactive Data Tool,,,,
,,,,
Filters,Selected values,,,
Institution Name,12 of 1070,,,
,,,,
,,,<measures>,
[Year],[Institution Name],[SEH Fields],[Sex],Graduate Students by Demographic Characteristics and Enrollment
2012,University of Pennsylvania,Science,Total for selected values,"1,784"
2012,University of Pennsylvania,Science,Female,799
2012,University of Pennsylvania,Science,Male,985
2012,University of Pennsylvania,Engineering,Total for selected values,776
2012,University of Pennsylvania,Engineering,Female,232
2012,University of Pennsylvania,Engineering,Male,544
2012,Yale University,Total for selected values,Total for selected values,"2,117"
2012,Yale University,Science,Total for selected values,"1,890"
2012,Yale University,Science,Female,899
2012,Yale University,Science,Male,991
2012,Yale University,Engineering,Total for selected values,208
2012,Yale University,Engineering,Female,66
2012,Yale University,Engineering,Male,142
2012,Yale University,Health,Total for selected values,19
2012,Yale University,Health,Female,18
2012,Yale University,Health,Male,1
2011,Total for selected values,Total for selected values,Total for selected values,"36,013"
2011,Brown University,Total for selected values,Total for selected values,"1,477"
2011,Brown University,Science,Total for selected values,"1,326"
2011,Brown University,Science,Female,657
2011,Brown University,Science,Male,669
2011,Brown University,Engineering,Total for selected values,151
2011,Brown University,Engineering,Female,38
2011,Brown University,Engineering,Male,113
2011,Columbia University in the City of New York,Total for selected values,Total for selected values,"4,704"
2011,Columbia University in the City of New York,Science,Total for selected values,"2,815"
2011,Columbia University in the City of New York,Science,Female,"1,256"
2011,Columbia University in the City of New York,Science,Male,"1,559"
2011,Columbia University in the City of New York,Engineering,Total for selected values,"1,774"
2011,Columbia University in the City of New York,Engineering,Female,463
2011,Columbia University in the City of New York,Engineering,Male,"1,311"
2011,Columbia University in the City of New York,Health,Total for selected values,115
2011,Columbia University in the City of New York,Health,Female,82
2011,Columbia University in the City of New York,Health,Male,33
2011,Cornell University,Total for selected values,Total for selected values,"5,043"
2011,Cornell University,Science,Total for selected values,"3,249"
2011,Cornell University,Science,Female,"1,650"
2011,Cornell University,Science,Male,"1,599"
2011,Cornell University,Engineering,Total for selected values,"1,570"
2011,Cornell University,Engineering,Female,485
2011,Cornell University,Engineering,Male,"1,085"
2011,Cornell University,Health,Total for selected values,224
2011,Cornell University,Health,Female,142
2011,Cornell University,Health,Male,82
2011,Dartmouth College,Total for selected values,Total for selected values,781
2011,Dartmouth College,Science,Total for selected values,483
2011,Dartmouth College,Science,Female,225
2011,Dartmouth College,Science,Male,258
2011,Dartmouth College,Engineering,Total for selected values,203
2011,Dartmouth College,Engineering,Female,68
2011,Dartmouth College,Engineering,Male,135
2011,Dartmouth College,Health,Total for selected values,95
2011,Dartmouth College,Health,Female,55
2011,Dartmouth College,Health,Male,40
2011,Duke University,Total for selected values,Total for selected values,"2,143"
2011,Duke University,Science,Total for selected values,"1,518"
2011,Duke University,Science,Female,721
2011,Duke University,Science,Male,797
2011,Duke University,Engineering,Total for selected values,546
2011,Duke University,Engineering,Female,167
2011,Duke University,Engineering,Male,379
2011,Duke University,Health,Total for selected values,79
2011,Duke University,Health,Female,40
2011,Duke University,Health,Male,39
2011,Harvard University,Total for selected values,Total for selected values,"4,726"
2011,Harvard University,Science,Total for selected values,"4,124"
2011,Harvard University,Science,Female,"1,861"
2011,Harvard University,Science,Male,"2,263"
2011,Harvard University,Engineering,Total for selected values,196
2011,Harvard University,Engineering,Female,69
2011,Harvard University,Engineering,Male,127
2011,Harvard University,Health,Total for selected values,406
2011,Harvard University,Health,Female,263
2011,Harvard University,Health,Male,143
2011,Massachusetts Institute of Technology,Total for selected values,Total for selected values,"4,807"
2011,Massachusetts Institute of Technology,Science,Total for selected values,"2,070"
2011,Massachusetts Institute of Technology,Science,Female,714
2011,Massachusetts Institute of Technology,Science,Male,"1,356"
2011,Massachusetts Institute of Technology,Engineering,Total for selected values,"2,737"
2011,Massachusetts Institute of Technology,Engineering,Female,754
2011,Massachusetts Institute of Technology,Engineering,Male,"1,983"
